sssom:subject_id	sssom:subject_label	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_label	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:reviewer_id	sssom:reviewer_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:geodeticDatum	Geodetic Datum	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09			
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09			
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:coordinatePrecision	Coordinate Precision	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:footprintSRS	Footprint SRS	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1281	Mathias Dillen	rdf property	rdf property	2023-09			
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	skos:exactMatch	dwc:locationID	Location ID	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:decimalLatitude	Decimal Latitude	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:decimalLongitude	Decimal Longitude	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09	dwc:decimalLatitude|dwc:decimalLongitude|dwc:coordinatePrecision|dwc:coordinateUncertaintyInMeters|dwc:geodeticDatum	All properties in object_match_field need to be present	
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:footprintWKT	Footprint WKT	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-09	dwc:footprintWKT|dwc:footprintSRS	All properties in object_match_field need to be present	
mids:InstitutionID	Institution ID	mids:MIDS3	skos:exactMatch	dwc:institutionID	Institution ID	dwc:Record-level	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-12-07			
mids:IdentifiedAsID	Identified As ID	mids:MIDS3	skos:exactMatch	dwc:scientificNameID	Scientific Name ID	dwc:Taxon	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-12-07			
mids:IdentifiedByID	Identified By ID	mids:MIDS3	skos:narrowMatch	dwc:identifiedByID	Identified By ID	dwc:Identification	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-12-07			
mids:MediaID	Media ID	mids:MIDS3	skos:narrowMatch	dc:identifier	Identifier	gbif:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
mids:MediaID	Media ID	mids:MIDS3	skos:narrowMatch	dc:identifier	Identifier	ac:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized|unknown|Unknown
